iShares Russell 2000 ETF,,,,,,,,,,,,,,
Fund Holdings as of,4-Nov-25,,,,,,,,,,,,,
Inception Date,22-May-00,,,,,,,,,,,,,
Shares Outstanding,"278,650,000.00",,,,,,,,,,,,,
Stock,-,,,,,,,,,,,,,
Bond,-,,,,,,,,,,,,,
Cash,-,,,,,,,,,,,,,
Other,-,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
BKH,BLACK HILLS CORP,Utilities,Equity,"113,432,138.64",0.17,"113,432,138.64","1,755,372.00",64.62,United States,New York Stock Exchange Inc.,USD,1,USD,-
CNX,CNX RESOURCES CORP,Energy,Equity,"112,844,412.32",0.17,"112,844,412.32","3,291,844.00",34.28,United States,New York Stock Exchange Inc.,USD,1,USD,-
BDC,BELDEN INC,Information Technology,Equity,"112,646,449.86",0.17,"112,646,449.86","956,739.00",117.74,United States,New York Stock Exchange Inc.,USD,1,USD,-
CRSP,CRISPR THERAPEUTICS AG,Health Care,Equity,"112,181,664.44",0.17,"112,181,664.44","1,988,684.00",56.41,United States,NASDAQ,USD,1,USD,-
AUB,ATLANTIC UNION BANKSHARES CORP,Financials,Equity,"111,951,903.96",0.17,"111,951,903.96","3,458,508.00",32.37,United States,New York Stock Exchange Inc.,USD,1,USD,-
RDN,RADIAN GROUP INC,Financials,Equity,"111,848,335.54",0.16,"111,848,335.54","3,259,934.00",34.31,United States,New York Stock Exchange Inc.,USD,1,USD,-
NPO,ENPRO INC,Industrials,Equity,"111,771,655.58",0.16,"111,771,655.58","508,469.00",219.82,United States,New York Stock Exchange Inc.,USD,1,USD,-
NOVT,NOVANTA INC,Information Technology,Equity,"111,590,191.89",0.16,"111,590,191.89","862,833.00",129.33,United States,NASDAQ,USD,1,USD,-
EAT,BRINKER INTERNATIONAL INC,Consumer Discretionary,Equity,"111,537,917.38",0.16,"111,537,917.38","1,066,634.00",104.57,United States,New York Stock Exchange Inc.,USD,1,USD,-
MTH,MERITAGE CORP,Consumer Discretionary,Equity,"111,226,326.12",0.16,"111,226,326.12","1,703,052.00",65.31,United States,New York Stock Exchange Inc.,USD,1,USD,-
SIGI,SELECTIVE INSURANCE GROUP INC,Financials,Equity,"110,560,373.66",0.16,"110,560,373.66","1,466,707.00",75.38,United States,NASDAQ,USD,1,USD,-
ARWR,ARROWHEAD PHARMACEUTICALS INC,Health Care,Equity,"109,683,471.10",0.16,"109,683,471.10","2,897,846.00",37.85,United States,NASDAQ,USD,1,USD,-
PI,IMPINJ INC,Information Technology,Equity,"109,577,432.25",0.16,"109,577,432.25","624,195.00",175.55,United States,NASDAQ,USD,1,USD,-
HUT,HUT CORP,Information Technology,Equity,"109,222,978.36",0.16,"109,222,978.36","2,270,276.00",48.11,United States,NASDAQ,USD,1,USD,-
NJR,NEW JERSEY RESOURCES CORP,Utilities,Equity,"109,047,706.95",0.16,"109,047,706.95","2,431,387.00",44.85,United States,New York Stock Exchange Inc.,USD,1,USD,-
ABG,ASBURY AUTOMOTIVE GROUP INC,Consumer Discretionary,Equity,"109,003,528.92",0.16,"109,003,528.92","473,044.00",230.43,United States,New York Stock Exchange Inc.,USD,1,USD,-
MAC,MACERICH REIT,Real Estate,Equity,"108,705,116.40",0.16,"108,705,116.40","6,141,532.00",17.7,United States,New York Stock Exchange Inc.,USD,1,USD,-
SMR,NUSCALE POWER CORP CLASS A,Industrials,Equity,"108,630,204.83",0.16,"108,630,204.83","3,048,841.00",35.63,United States,New York Stock Exchange Inc.,USD,1,USD,-
CLSK,CLEANSPARK INC,Information Technology,Equity,"108,312,261.56",0.16,"108,312,261.56","6,677,698.00",16.22,United States,NASDAQ,USD,1,USD,-
GVA,GRANITE CONSTRUCTION INC,Industrials,Equity,"108,076,032.00",0.16,"108,076,032.00","1,055,430.00",102.4,United States,New York Stock Exchange Inc.,USD,1,USD,-
BCO,BRINKS,Industrials,Equity,"107,310,121.16",0.16,"107,310,121.16","1,013,507.00",105.88,United States,New York Stock Exchange Inc.,USD,1,USD,-
OSIS,OSI SYSTEMS INC,Information Technology,Equity,"107,194,829.28",0.16,"107,194,829.28","386,232.00",277.54,United States,NASDAQ,USD,1,USD,-
OPCH,OPTION CARE HEALTH INC,Health Care,Equity,"107,059,964.49",0.16,"107,059,964.49","3,960,783.00",27.03,United States,NASDAQ,USD,1,USD,-
PTGX,PROTAGONIST THERAPEUTICS INC,Health Care,Equity,"107,014,167.00",0.16,"107,014,167.00","1,398,878.00",76.5,United States,NASDAQ,USD,1,USD,-
BOX,BOX INC CLASS A,Information Technology,Equity,"106,543,210.56",0.16,"106,543,210.56","3,380,178.00",31.52,United States,New York Stock Exchange Inc.,USD,1,USD,-
QLYS,QUALYS INC,Information Technology,Equity,"106,514,742.02",0.16,"106,514,742.02","878,762.00",121.21,United States,NASDAQ,USD,1,USD,-
SSRM,SSR MINING INC,Materials,Equity,"106,379,215.60",0.16,"106,379,215.60","4,902,268.00",21.7,Canada,NASDAQ,USD,1,USD,-
HRI,HERC HOLDINGS INC,Industrials,Equity,"105,370,254.08",0.16,"105,370,254.08","785,876.00",134.08,United States,New York Stock Exchange Inc.,USD,1,USD,-
VSAT,VIASAT INC,Information Technology,Equity,"105,342,856.08",0.16,"105,342,856.08","2,836,372.00",37.14,United States,NASDAQ,USD,1,USD,-
PECO,PHILLIPS EDISON AND COMPANY INC,Real Estate,Equity,"104,560,021.24",0.15,"104,560,021.24","3,071,681.00",34.04,United States,NASDAQ,USD,1,USD,-
STEP,STEPSTONE GROUP INC CLASS A,Financials,Equity,"103,927,697.46",0.15,"103,927,697.46","1,680,862.00",61.83,United States,NASDAQ,USD,1,USD,-
SBRA,SABRA HEALTH CARE REIT INC,Real Estate,Equity,"103,604,356.00",0.15,"103,604,356.00","5,762,200.00",17.98,United States,NASDAQ,USD,1,USD,-
AX,AXOS FINANCIAL INC,Financials,Equity,"103,460,622.93",0.15,"103,460,622.93","1,309,131.00",79.03,United States,New York Stock Exchange Inc.,USD,1,USD,-
CWAN,CLEARWATER ANALYTICS HOLDINGS INC,Information Technology,Equity,"103,135,799.34",0.15,"103,135,799.34","5,937,582.00",17.37,United States,New York Stock Exchange Inc.,USD,1,USD,-
WULF,TERAWULF INC,Information Technology,Equity,"102,527,486.12",0.15,"102,527,486.12","6,830,612.00",15.01,United States,NASDAQ,USD,1,USD,-
ASB,ASSOCIATED BANCORP,Financials,Equity,"101,155,557.30",0.15,"101,155,557.30","4,038,146.00",25.05,United States,New York Stock Exchange Inc.,USD,1,USD,-
AROC,ARCHROCK INC,Energy,Equity,"100,654,592.76",0.15,"100,654,592.76","3,965,902.00",25.38,United States,New York Stock Exchange Inc.,USD,1,USD,-
FFIN,FIRST FINANCIAL BANKSHARES INC,Financials,Equity,"99,063,006.80",0.15,"99,063,006.80","3,232,072.00",30.65,United States,NASDAQ,USD,1,USD,-
WAY,WAYSTAR HOLDING CORP,Health Care,Equity,"98,940,421.35",0.15,"98,940,421.35","2,639,115.00",37.49,United States,NASDAQ,USD,1,USD,-
